区域ID	区域名称	区域类型
2009	遂川县	3
2010	万安县	3
2011	永新县	3
2012	珠山区	3
2013	昌江区	3
2014	乐平市	3
2015	浮梁县	3
2016	浔阳区	3
2017	庐山区	3
2018	瑞昌市	3
2019	九江县	3
2020	武宁县	3
2021	修水县	3
2022	永修县	3
2023	德安县	3
2024	星子县	3
2025	都昌县	3
2026	湖口县	3
2027	彭泽县	3
2028	安源区	3
2029	湘东区	3
2030	莲花县	3
2031	芦溪县	3
2032	上栗县	3
2033	信州区	3
2034	德兴市	3
2035	上饶县	3
2036	广丰县	3
2037	玉山县	3
2038	铅山县	3
2039	横峰县	3
2040	弋阳县	3
2041	余干县	3
2042	波阳县	3
2043	万年县	3
2044	婺源县	3
2045	渝水区	3
2046	分宜县	3
2047	袁州区	3
2048	丰城市	3
2049	樟树市	3
2050	高安市	3
1369	平桥区	3
1370	罗山县	3
1371	光山县	3
1372	新县	3
1373	商城县	3
1374	固始县	3
1375	潢川县	3
1376	淮滨县	3
1377	息县	3
1378	魏都区	3
1379	禹州市	3
1380	长葛市	3
1381	许昌县	3
1382	鄢陵县	3
1383	襄城县	3
1384	川汇区	3
1385	项城市	3
1386	扶沟县	3
1387	西华县	3
1388	商水县	3
1389	沈丘县	3
1390	郸城县	3
1391	淮阳县	3
1392	太康县	3
1393	鹿邑县	3
1394	驿城区	3
1395	西平县	3
1396	上蔡县	3
1397	平舆县	3
1398	正阳县	3
1399	确山县	3
1400	泌阳县	3
1401	汝南县	3
1402	遂平县	3
1403	新蔡县	3
1404	郾城区	3
1405	源汇区	3
1406	召陵区	3
1407	舞阳县	3
1408	临颍县	3
1409	华龙区	3
1410	清丰县	3
1411	南乐县	3
1412	范县	3
1413	台前县	3
1414	濮阳县	3
1415	道里区	3
1416	南岗区	3
1417	动力区	3
1418	平房区	3
1419	香坊区	3
1420	太平区	3
1421	道外区	3
1422	阿城区	3
1423	呼兰区	3
1424	松北区	3
1425	尚志市	3
1426	双城市	3
1427	五常市	3
1428	方正县	3
1429	宾县	3
1430	依兰县	3
1431	巴彦县	3
1432	通河县	3
1433	木兰县	3
1434	延寿县	3
1435	萨尔图区	3
1436	红岗区	3
1437	龙凤区	3
1438	让胡路区	3
1439	大同区	3
1440	肇州县	3
1441	肇源县	3
1442	林甸县	3
1443	杜尔伯特	3
1444	呼玛县	3
1445	漠河县	3
1446	塔河县	3
1447	兴山区	3
1448	工农区	3
1449	南山区	3
1450	兴安区	3
1451	向阳区	3
1452	东山区	3
1453	萝北县	3
1454	绥滨县	3
1455	爱辉区	3
1456	五大连池市	3
1457	北安市	3
1458	嫩江县	3
1459	逊克县	3
1460	孙吴县	3
1461	鸡冠区	3
1462	恒山区	3
1463	城子河区	3
1464	滴道区	3
1465	梨树区	3
1466	虎林市	3
1467	密山市	3
1468	鸡东县	3
1469	前进区	3
1470	郊区	3
1471	向阳区	3
1472	东风区	3
1473	同江市	3
1474	富锦市	3
1475	桦南县	3
1476	桦川县	3
1477	汤原县	3
1478	抚远县	3
1479	爱民区	3
1480	东安区	3
1481	阳明区	3
1482	西安区	3
1483	绥芬河市	3
1484	海林市	3
1485	宁安市	3
1486	穆棱市	3
1487	东宁县	3
1488	林口县	3
1489	桃山区	3
1490	新兴区	3
1491	茄子河区	3
1492	勃利县	3
1493	龙沙区	3
1494	昂昂溪区	3
1495	铁峰区	3
1496	建华区	3
1497	富拉尔基区	3
1498	碾子山区	3
1499	梅里斯达斡尔区	3
1500	讷河市	3
1501	龙江县	3
1502	依安县	3
1503	泰来县	3
1504	甘南县	3
1505	富裕县	3
1506	克山县	3
1507	克东县	3
1508	拜泉县	3
1509	尖山区	3
1510	岭东区	3
1511	四方台区	3
1512	宝山区	3
1513	集贤县	3
1514	友谊县	3
1515	宝清县	3
1516	饶河县	3
1517	北林区	3
1518	安达市	3
1519	肇东市	3
1520	海伦市	3
1521	望奎县	3
1522	兰西县	3
1523	青冈县	3
1524	庆安县	3
1525	明水县	3
1526	绥棱县	3
1527	伊春区	3
1528	带岭区	3
1529	南岔区	3
1530	金山屯区	3
1531	西林区	3
1532	美溪区	3
1533	乌马河区	3
1534	翠峦区	3
1535	友好区	3
1536	上甘岭区	3
1537	五营区	3
1538	红星区	3
1539	新青区	3
1540	汤旺河区	3
1541	乌伊岭区	3
1542	铁力市	3
1543	嘉荫县	3
1544	江岸区	3
1545	武昌区	3
1546	江汉区	3
1547	硚口区	3
1548	汉阳区	3
1549	青山区	3
1550	洪山区	3
1551	东西湖区	3
1552	汉南区	3
1553	蔡甸区	3
1554	江夏区	3
1555	黄陂区	3
1556	新洲区	3
1557	经济开发区	3
1558	仙桃市	3
1559	鄂城区	3
1560	华容区	3
1561	梁子湖区	3
1562	黄州区	3
1563	麻城市	3
1564	武穴市	3
1565	团风县	3
1566	红安县	3
1567	罗田县	3
1568	英山县	3
1569	浠水县	3
1570	蕲春县	3
1571	黄梅县	3
1572	黄石港区	3
1573	西塞山区	3
1574	下陆区	3
1575	铁山区	3
1576	大冶市	3
1577	阳新县	3
1578	东宝区	3
1579	掇刀区	3
1580	钟祥市	3
1581	京山县	3
1582	沙洋县	3
1583	沙市区	3
1584	荆州区	3
1585	石首市	3
1586	洪湖市	3
1587	松滋市	3
1588	公安县	3
1589	监利县	3
1590	江陵县	3
1591	潜江市	3
1592	神农架林区	3
1593	张湾区	3
1594	茅箭区	3
1595	丹江口市	3
1596	郧县	3
1597	郧西县	3
1598	竹山县	3
1599	竹溪县	3
1600	房县	3
1601	曾都区	3
1602	广水市	3
1603	天门市	3
1604	咸安区	3
1605	赤壁市	3
1606	嘉鱼县	3
1607	通城县	3
1608	崇阳县	3
1609	通山县	3
1610	襄城区	3
1611	樊城区	3
1612	襄阳区	3
1613	老河口市	3
1614	枣阳市	3
1615	宜城市	3
1616	南漳县	3
1617	谷城县	3
1618	保康县	3
1619	孝南区	3
1620	应城市	3
1621	安陆市	3
1622	汉川市	3
1623	孝昌县	3
1624	大悟县	3
1625	云梦县	3
1626	长阳	3
1627	五峰	3
1628	西陵区	3
1629	伍家岗区	3
1630	点军区	3
1631	猇亭区	3
1632	夷陵区	3
1633	宜都市	3
1634	当阳市	3
1635	枝江市	3
1636	远安县	3
1637	兴山县	3
1638	秭归县	3
1639	恩施市	3
1640	利川市	3
1641	建始县	3
1642	巴东县	3
1643	宣恩县	3
1644	咸丰县	3
1645	来凤县	3
1646	鹤峰县	3
1647	岳麓区	3
1648	芙蓉区	3
1649	天心区	3
1650	开福区	3
1651	雨花区	3
1652	开发区	3
1653	浏阳市	3
1654	长沙县	3
1655	望城县	3
1656	宁乡县	3
1657	永定区	3
1658	武陵源区	3
1659	慈利县	3
1660	桑植县	3
1661	武陵区	3
1662	鼎城区	3
1663	津市市	3
1664	安乡县	3
1665	汉寿县	3
1666	澧县	3
1667	临澧县	3
1668	桃源县	3
1669	石门县	3
1670	北湖区	3
1671	苏仙区	3
1672	资兴市	3
1673	桂阳县	3
1674	宜章县	3
1675	永兴县	3
1676	嘉禾县	3
1677	临武县	3
1678	汝城县	3
1679	桂东县	3
1680	安仁县	3
1681	雁峰区	3
1682	珠晖区	3
1683	石鼓区	3
1684	蒸湘区	3
1685	南岳区	3
1686	耒阳市	3
1687	常宁市	3
1688	衡阳县	3
1689	衡南县	3
1690	衡山县	3
1691	衡东县	3
1692	祁东县	3
1693	鹤城区	3
1694	靖州	3
1695	麻阳	3
1696	通道	3
1697	新晃	3
1698	芷江	3
1699	沅陵县	3
1700	辰溪县	3
1701	溆浦县	3
1702	中方县	3
1703	会同县	3
1704	洪江市	3
1705	娄星区	3
1706	冷水江市	3
1707	涟源市	3
1708	双峰县	3
1709	新化县	3
3074	托克逊县	3
3075	五家渠市	3
3076	阿勒泰市	3
3077	布克赛尔	3
3078	伊宁市	3
3079	布尔津县	3
3080	奎屯市	3
3081	乌苏市	3
3082	额敏县	3
3083	富蕴县	3
3084	伊宁县	3
3085	福海县	3
3086	霍城县	3
3087	沙湾县	3
3088	巩留县	3
3089	哈巴河县	3
3090	托里县	3
3091	青河县	3
3092	新源县	3
3093	裕民县	3
3094	和布克赛尔	3
3095	吉木乃县	3
3096	昭苏县	3
3097	特克斯县	3
3098	尼勒克县	3
3099	察布查尔	3
3100	盘龙区	3
3101	五华区	3
3102	官渡区	3
3103	西山区	3
3104	东川区	3
3105	安宁市	3
3106	呈贡县	3
3107	晋宁县	3
3108	富民县	3
3109	宜良县	3
3110	嵩明县	3
3111	石林县	3
3112	禄劝	3
3113	寻甸	3
3114	兰坪	3
3115	泸水县	3
3116	福贡县	3
3117	贡山	3
3118	宁洱	3
3119	思茅区	3
3120	墨江	3
3121	景东	3
3122	景谷	3
3123	镇沅	3
3124	江城	3
3125	孟连	3
3126	澜沧	3
3127	西盟	3
3128	古城区	3
3129	宁蒗	3
3130	玉龙	3
3131	永胜县	3
3132	华坪县	3
3133	隆阳区	3
3134	施甸县	3
3135	腾冲县	3
3136	龙陵县	3
3137	昌宁县	3
3138	楚雄市	3
3139	双柏县	3
3140	牟定县	3
3141	南华县	3
3142	姚安县	3
3143	大姚县	3
3144	永仁县	3
3145	元谋县	3
3146	武定县	3
3147	禄丰县	3
3148	大理市	3
3149	祥云县	3
3150	宾川县	3
3151	弥渡县	3
3152	永平县	3
3153	云龙县	3
3154	洱源县	3
3155	剑川县	3
3156	鹤庆县	3
3157	漾濞	3
3158	南涧	3
3159	巍山	3
3160	潞西市	3
3161	瑞丽市	3
3162	梁河县	3
3163	盈江县	3
3164	陇川县	3
3165	香格里拉县	3
3166	德钦县	3
3167	维西	3
3168	泸西县	3
3169	蒙自县	3
3170	个旧市	3
3171	开远市	3
3172	绿春县	3
3173	建水县	3
3174	石屏县	3
3175	弥勒县	3
3176	元阳县	3
3177	红河县	3
3178	金平	3
3179	河口	3
3180	屏边	3
3181	临翔区	3
3182	凤庆县	3
3183	云县	3
3184	永德县	3
3185	镇康县	3
3186	双江	3
3187	耿马	3
3188	沧源	3
3189	麒麟区	3
3190	宣威市	3
3191	马龙县	3
3192	陆良县	3
3193	师宗县	3
3194	罗平县	3
3195	富源县	3
3196	会泽县	3
3197	沾益县	3
3198	文山县	3
3199	砚山县	3
3200	西畴县	3
3201	麻栗坡县	3
3202	马关县	3
3203	丘北县	3
3204	广南县	3
3205	富宁县	3
3206	景洪市	3
3207	勐海县	3
3208	勐腊县	3
3209	红塔区	3
3210	江川县	3
3211	澄江县	3
3212	通海县	3
3213	华宁县	3
3214	易门县	3
3215	峨山	3
3216	新平	3
3217	元江	3
3218	昭阳区	3
3219	鲁甸县	3
3220	巧家县	3
3221	盐津县	3
3222	大关县	3
3223	永善县	3
3224	绥江县	3
3225	镇雄县	3
3226	彝良县	3
3227	威信县	3
3228	水富县	3
3229	西湖区	3
3230	上城区	3
3231	下城区	3
3232	拱墅区	3
3233	滨江区	3
3234	江干区	3
3235	萧山区	3
3236	余杭区	3
3237	市郊	3
3238	建德市	3
3239	富阳市	3
3240	临安市	3
3241	桐庐县	3
3242	淳安县	3
3243	吴兴区	3
3244	南浔区	3
3245	德清县	3
3246	长兴县	3
3247	安吉县	3
3248	南湖区	3
3249	秀洲区	3
3250	海宁市	3
3251	嘉善县	3
3252	平湖市	3
3253	桐乡市	3
3254	海盐县	3
3255	婺城区	3
3256	金东区	3
3257	兰溪市	3
3258	市区	3
3259	佛堂镇	3
3260	上溪镇	3
3261	义亭镇	3
3262	大陈镇	3
3263	苏溪镇	3
3264	赤岸镇	3
3265	东阳市	3
3266	永康市	3
3267	武义县	3
3268	浦江县	3
3269	磐安县	3
3270	莲都区	3
3271	龙泉市	3
3272	青田县	3
3273	缙云县	3
3274	遂昌县	3
3275	松阳县	3
3276	云和县	3
3277	庆元县	3
3278	景宁	3
3279	海曙区	3
3280	江东区	3
3281	江北区	3
3282	镇海区	3
3283	北仑区	3
3284	鄞州区	3
3285	余姚市	3
3286	慈溪市	3
3287	奉化市	3
3288	象山县	3
3289	宁海县	3
3290	越城区	3
3291	上虞市	3
3292	嵊州市	3
3293	绍兴县	3
3294	新昌县	3
3295	诸暨市	3
3296	椒江区	3
3297	黄岩区	3
3298	路桥区	3
3299	温岭市	3
3300	临海市	3
3301	玉环县	3
3302	三门县	3
3303	天台县	3
3304	仙居县	3
3305	鹿城区	3
3306	龙湾区	3
3307	瓯海区	3
3308	瑞安市	3
3309	乐清市	3
3310	洞头县	3
3311	永嘉县	3
3312	平阳县	3
3313	苍南县	3
3314	文成县	3
3315	泰顺县	3
3316	定海区	3
3317	普陀区	3
3318	岱山县	3
3319	嵊泗县	3
3320	衢州市	3
3321	江山市	3
3322	常山县	3
3323	开化县	3
3324	龙游县	3
3325	合川区	3
3326	江津区	3
3327	南川区	3
3328	永川区	3
3329	南岸区	3
3330	渝北区	3
3331	万盛区	3
3332	大渡口区	3
3333	万州区	3
3334	北碚区	3
3335	沙坪坝区	3
3336	巴南区	3
3337	涪陵区	3
3338	江北区	3
3339	九龙坡区	3
3340	渝中区	3
3341	黔江开发区	3
3342	长寿区	3
3343	双桥区	3
3344	綦江县	3
3345	潼南县	3
3346	铜梁县	3
3347	大足县	3
3348	荣昌县	3
3349	璧山县	3
3350	垫江县	3
3351	武隆县	3
3352	丰都县	3
3353	城口县	3
3354	梁平县	3
3355	开县	3
3356	巫溪县	3
3357	巫山县	3
3358	奉节县	3
3359	云阳县	3
3360	忠县	3
3361	石柱	3
3362	彭水	3
3363	酉阳	3
3364	秀山	3
3365	沙田区	3
3366	东区	3
3367	观塘区	3
3368	黄大仙区	3
3369	九龙城区	3
3370	屯门区	3
3371	葵青区	3
3372	元朗区	3
3373	深水埗区	3
3374	西贡区	3
3375	大埔区	3
3376	湾仔区	3
3377	油尖旺区	3
3378	北区	3
3379	南区	3
3380	荃湾区	3
3381	中西区	3
3382	离岛区	3
3383	澳门	3
3384	台北	3
3385	高雄	3
3386	基隆	3
3387	台中	3
3388	台南	3
3389	新竹	3
3390	嘉义	3
3391	宜兰县	3
3392	桃园县	3
3393	苗栗县	3
3394	彰化县	3
3395	南投县	3
3396	云林县	3
3397	屏东县	3
3398	台东县	3
3399	花莲县	3
3400	澎湖县	3
3401	合肥	2
3402	庐阳区	3
3403	瑶海区	3
3404	蜀山区	3
3405	包河区	3
3406	长丰县	3
3407	肥东县	3
3408	肥西县	3
3409	义乌市	3
3410	南沙区	3
3411	萝岗区	3
3412	其他	3
3413	其他	3
3414	坦州	3
3415	龙华新区	3
2392	鱼台县	3
2393	金乡县	3
2394	嘉祥县	3
2395	汶上县	3
2396	泗水县	3
2397	梁山县	3
2398	莱城区	3
2399	钢城区	3
2400	东昌府区	3
2401	临清市	3
2402	阳谷县	3
2403	莘县	3
2404	茌平县	3
2405	东阿县	3
2406	冠县	3
2407	高唐县	3
2408	兰山区	3
2409	罗庄区	3
2410	河东区	3
2411	沂南县	3
2412	郯城县	3
2413	沂水县	3
2414	苍山县	3
2415	费县	3
2416	平邑县	3
2417	莒南县	3
2418	蒙阴县	3
2419	临沭县	3
2420	东港区	3
2421	岚山区	3
2422	五莲县	3
2423	莒县	3
2424	泰山区	3
2425	岱岳区	3
2426	新泰市	3
2427	肥城市	3
2428	宁阳县	3
2429	东平县	3
2430	荣成市	3
2431	乳山市	3
2432	环翠区	3
2433	文登市	3
2434	潍城区	3
2435	寒亭区	3
2436	坊子区	3
2437	奎文区	3
2438	青州市	3
2439	诸城市	3
2440	寿光市	3
2441	安丘市	3
2442	高密市	3
2443	昌邑市	3
2444	临朐县	3
2445	昌乐县	3
2446	芝罘区	3
2447	福山区	3
2448	牟平区	3
2449	莱山区	3
2450	开发区	3
2451	龙口市	3
2452	莱阳市	3
2453	莱州市	3
2454	蓬莱市	3
2455	招远市	3
2456	栖霞市	3
2457	海阳市	3
2458	长岛县	3
2459	市中区	3
2460	山亭区	3
2461	峄城区	3
2462	台儿庄区	3
2463	薛城区	3
2464	滕州市	3
2465	张店区	3
2466	临淄区	3
2467	淄川区	3
2468	博山区	3
2469	周村区	3
2470	桓台县	3
2471	高青县	3
2472	沂源县	3
2473	杏花岭区	3
2474	小店区	3
2475	迎泽区	3
2476	尖草坪区	3
2477	万柏林区	3
2478	晋源区	3
2479	高新开发区	3
2480	民营经济开发区	3
2481	经济技术开发区	3
2482	清徐县	3
2483	阳曲县	3
2484	娄烦县	3
2485	古交市	3
2486	城区	3
2487	郊区	3
2488	沁县	3
2489	潞城市	3
2490	长治县	3
2491	襄垣县	3
2492	屯留县	3
2493	平顺县	3
2494	黎城县	3
2495	壶关县	3
2496	长子县	3
2497	武乡县	3
2498	沁源县	3
2499	城区	3
2500	矿区	3
2501	南郊区	3
2502	新荣区	3
2503	阳高县	3
2504	天镇县	3
2505	广灵县	3
2506	灵丘县	3
2507	浑源县	3
2508	左云县	3
2509	大同县	3
2510	城区	3
2511	高平市	3
2512	沁水县	3
2513	阳城县	3
2514	陵川县	3
2515	泽州县	3
2516	榆次区	3
2517	介休市	3
2518	榆社县	3
2519	左权县	3
2520	和顺县	3
2521	昔阳县	3
2522	寿阳县	3
2523	太谷县	3
2524	祁县	3
2525	平遥县	3
2526	灵石县	3
2527	尧都区	3
2528	侯马市	3
2529	霍州市	3
2530	曲沃县	3
2531	翼城县	3
2532	襄汾县	3
2533	洪洞县	3
2534	吉县	3
2535	安泽县	3
2536	浮山县	3
2537	古县	3
2538	乡宁县	3
2539	大宁县	3
2540	隰县	3
2541	永和县	3
2542	蒲县	3
2543	汾西县	3
2544	离石市	3
2545	离石区	3
2546	孝义市	3
2547	汾阳市	3
2548	文水县	3
2549	交城县	3
2550	兴县	3
2551	临县	3
2552	柳林县	3
2553	石楼县	3
2554	岚县	3
2555	方山县	3
2556	中阳县	3
2557	交口县	3
2558	朔城区	3
2559	平鲁区	3
2560	山阴县	3
2561	应县	3
2562	右玉县	3
2563	怀仁县	3
2564	忻府区	3
2565	原平市	3
2566	定襄县	3
2567	五台县	3
2568	代县	3
2569	繁峙县	3
2570	宁武县	3
2571	静乐县	3
2572	神池县	3
2573	五寨县	3
2574	岢岚县	3
2575	河曲县	3
2576	保德县	3
2577	偏关县	3
2578	城区	3
2579	矿区	3
2580	郊区	3
2581	平定县	3
2582	盂县	3
2583	盐湖区	3
2584	永济市	3
2585	河津市	3
2586	临猗县	3
2587	万荣县	3
2588	闻喜县	3
2589	稷山县	3
2590	新绛县	3
2591	绛县	3
2592	垣曲县	3
2593	夏县	3
2594	平陆县	3
2595	芮城县	3
2596	莲湖区	3
2597	新城区	3
2598	碑林区	3
2599	雁塔区	3
2600	灞桥区	3
2601	未央区	3
2602	阎良区	3
2603	临潼区	3
2604	长安区	3
2605	蓝田县	3
2606	周至县	3
2607	户县	3
2608	高陵县	3
2609	汉滨区	3
2610	汉阴县	3
2611	石泉县	3
2612	宁陕县	3
2613	紫阳县	3
2614	岚皋县	3
2615	平利县	3
2616	镇坪县	3
2617	旬阳县	3
2618	白河县	3
2619	陈仓区	3
2620	渭滨区	3
2621	金台区	3
2622	凤翔县	3
2623	岐山县	3
2624	扶风县	3
2625	眉县	3
2626	陇县	3
2627	千阳县	3
2628	麟游县	3
2629	凤县	3
2630	太白县	3
2631	汉台区	3
2632	南郑县	3
2633	城固县	3
2634	洋县	3
2635	西乡县	3
2636	勉县	3
2637	宁强县	3
2638	略阳县	3
2639	镇巴县	3
2640	留坝县	3
2641	佛坪县	3
2642	商州区	3
2643	洛南县	3
2644	丹凤县	3
2645	商南县	3
2646	山阳县	3
2647	镇安县	3
2648	柞水县	3
2649	耀州区	3
2650	王益区	3
2651	印台区	3
2652	宜君县	3
2653	临渭区	3
2654	韩城市	3
2655	华阴市	3
2656	华县	3
2657	潼关县	3
2658	大荔县	3
2659	合阳县	3
2660	澄城县	3
2661	蒲城县	3
2662	白水县	3
2663	富平县	3
2664	秦都区	3
2665	渭城区	3
2666	杨陵区	3
2667	兴平市	3
2668	三原县	3
2669	泾阳县	3
2670	乾县	3
2671	礼泉县	3
2672	永寿县	3
2673	彬县	3
2674	长武县	3
2675	旬邑县	3
2676	淳化县	3
2677	武功县	3
2678	吴起县	3
2679	宝塔区	3
2680	延长县	3
2681	延川县	3
2682	子长县	3
2683	安塞县	3
2684	志丹县	3
2685	甘泉县	3
2686	富县	3
2687	洛川县	3
2688	宜川县	3
2689	黄龙县	3
2690	黄陵县	3
2691	榆阳区	3
2692	神木县	3
2693	府谷县	3
2694	横山县	3
2695	靖边县	3
2696	定边县	3
2697	绥德县	3
2698	米脂县	3
2699	佳县	3
2700	吴堡县	3
2701	清涧县	3
2702	子洲县	3
2703	长宁区	3
2704	闸北区	3
2705	闵行区	3
2706	徐汇区	3
2707	浦东新区	3
2708	杨浦区	3
2709	普陀区	3
2710	静安区	3
2711	卢湾区	3
2712	虹口区	3
2713	黄浦区	3
2714	南汇区	3
2715	松江区	3
2716	嘉定区	3
2717	宝山区	3
2718	青浦区	3
2719	金山区	3
2720	奉贤区	3
2721	崇明县	3
2722	青羊区	3
2723	锦江区	3
2724	金牛区	3
2725	武侯区	3
2726	成华区	3
2727	龙泉驿区	3
2728	青白江区	3
2729	新都区	3
2730	温江区	3
2731	高新区	3
2732	高新西区	3
2051	奉新县	3
2052	万载县	3
2053	上高县	3
2054	宜丰县	3
2055	靖安县	3
2056	铜鼓县	3
2057	月湖区	3
2058	贵溪市	3
2059	余江县	3
2060	沈河区	3
2061	皇姑区	3
2062	和平区	3
2063	大东区	3
2064	铁西区	3
2065	苏家屯区	3
2066	东陵区	3
2067	沈北新区	3
2068	于洪区	3
2069	浑南新区	3
2070	新民市	3
2071	辽中县	3
2072	康平县	3
2073	法库县	3
2074	西岗区	3
2075	中山区	3
2076	沙河口区	3
2077	甘井子区	3
2078	旅顺口区	3
2079	金州区	3
2080	开发区	3
